id,correct_answer,question,A,B,C,D
27,A,"The atmosphere in a tank is too lean if it is
__________.","incapable of supporting
combustion because
the hydrocarbon
content is below the
LFL (Lower Flammable
Limit)","capable of supporting
combustion because
the hydrocarbon
content is above the
UFL (Upper Flammable
Limit)","capable of supporting a
fire once started",not safe for ballasting
35,A,Which statement is TRUE of a gasoline spill?,"It is visible for a shorter
time than a fuel oil spill.","It is not covered by the
pollution laws.","It does little harm to
marine life.","It will sink more rapidly
than crude oil."
37,D,"What is the generally accepted method of determining whether the atmosphere within a cargo tank is explosive, too rich,  or too lean to support combustion?",Use the open flame test on a small sample that has been taken from the tank.,Send a gas sample ashore for laboratory analysis.,Enter the tank with an oxygen analyzer.,Use an explosimeter.
39,A,A flame screen __________.,permits the passage of vapor but not of flame,prevents the passage of flammable vapors,prevents inert gas from leaving a tank,permits vapors to exit but not enter a tank
40,C,"Regardless of local requirements/regulations, when in a U.S. port, all oil spills must  be reported to __________.",Environmental Protection Agency,Minerals Management Service,National Response Center (USCG),All of the Above
42,B,The advantages of using an inert gas system on a tank vessel is that it provides __________.,for faster loading,tank atmosphere with low oxygen content,better fuel economy,All of the above
48,D,What is used to test a tank for oxygen content?,Combustible gas indicator,Vapor indicator,Atmosphere analyzer kit,None of the above
53,A,Which statement is TRUE concerning inert gas systems on tank vessels?,Flue gases from the ship's boilers are used in some systems.,Helium is the preferred inert gas.,Using the system accelerates the rusting of the tanks.,All of the above
58,C,The minimum concentration of a vapor in air which can form  an explosive mixture is called the __________.,auto-ignition point,flash point,lower explosive limit (LEL),threshold limit value (TLV)
62,C,"You are towing a 1000 gross ton gasoline tank barge. The barge is NOT gas free. Regulations say that the cargo tank  hatches, ullage holes, and Butterworth plates on the barge  may remain open without flame screens __________.",without restriction,only while in areas of good weather,when under the supervision of a senior crew member on duty,only when the barge is empty
63,C,The deck water seal of the inert gas system __________.,cools the inert gas and prevents soot from entering the cargo tanks,acts as an emergency system shutdown when the inlet pressures exceed  the safe working pressure in the into nonhazardous hazardous zone,prevents the backflow of hydrocarbon gasses  areas,relieves sudden large overpressures in the system
68,B,The explosive range of petroleum vapors mixed with air is __________.,0% to  1%,1% to 10%,10% to 15%,12% to 20%
87,C,"On an inspection of your tankship you notice that there are no portable fire extinguishers in the pumproom.  To comply  with regulations, you __________.",need not be concerned since no portable extinguishers are required in the pumproom,should arrange to have a B-II extinguisher placed in the vicinity of the exit,should arrange to have a B-II extinguisher placed in the lower pumproom,may substitute sand for the required extinguishers
88,B,Which type of portable lighting may be used to enter a compartment on a tank barge which is NOT gas-free?,A three-cell flashlight,"An explosion-proof, self- contained, battery-fed lamp",A spark resistant and flame retardant lamp,None of the above
96,C,A spark arrestor __________.,keeps sparks from falling into an open tank,secures covers on ullage openings,prevents sparks from getting out of an engine's exhaust system,grounds static electricity
100,B,Annex V to MARPOL 73/78 contains requirements pertaining to the discharge into the marine environment of __________.,oil,garbage,noxious liquid substances,None of the above
